Time,PM2.5
2019-02-02 01:00:00,17.8 μg/m³
2019-02-03 01:00:00,38.5 μg/m³
2019-02-04 01:00:00,17.0 μg/m³
2019-02-05 01:00:00,27.9 μg/m³
2019-02-06 01:00:00,34.9 μg/m³
2019-02-07 01:00:00,31.5 μg/m³
2019-02-08 01:00:00,34.9 μg/m³
2019-02-09 01:00:00,32.8 μg/m³
2019-02-10 01:00:00,21.8 μg/m³
2019-02-11 01:00:00,18.1 μg/m³
2019-02-12 01:00:00,10.5 μg/m³
2019-02-13 01:00:00,19.5 μg/m³
2019-02-14 01:00:00,23.4 μg/m³
2019-02-15 01:00:00,33.5 μg/m³
2019-02-16 01:00:00,29.2 μg/m³
2019-02-17 01:00:00,37.2 μg/m³
2019-02-18 01:00:00,44.0 μg/m³
2019-02-19 01:00:00,41.0 μg/m³
2019-02-20 01:00:00,12.4 μg/m³
2019-02-21 01:00:00,23.3 μg/m³
2019-02-22 01:00:00,9.07 μg/m³
2019-02-23 01:00:00,18.4 μg/m³
2019-02-24 01:00:00,32.0 μg/m³
2019-02-25 01:00:00,36.1 μg/m³
2019-02-26 01:00:00,15.2 μg/m³
2019-02-27 01:00:00,20.5 μg/m³
2019-02-28 01:00:00,25.6 μg/m³
2019-03-01 01:00:00,16.7 μg/m³
2019-03-02 01:00:00,25.1 μg/m³
2019-03-03 01:00:00,31.9 μg/m³
2019-03-04 01:00:00,11.9 μg/m³
2019-03-05 01:00:00,10.3 μg/m³
2019-03-06 01:00:00,21.8 μg/m³
2019-03-07 01:00:00,20.5 μg/m³
2019-03-08 01:00:00,9.56 μg/m³
2019-03-09 01:00:00,14.6 μg/m³
2019-03-10 01:00:00,11.6 μg/m³
2019-03-11 01:00:00,13.5 μg/m³
2019-03-12 01:00:00,18.1 μg/m³
2019-03-13 01:00:00,25.0 μg/m³
2019-03-14 01:00:00,18.4 μg/m³
2019-03-15 01:00:00,14.8 μg/m³
2019-03-16 01:00:00,12.6 μg/m³
2019-03-17 01:00:00,18.6 μg/m³
2019-03-18 01:00:00,11.4 μg/m³
2019-03-19 01:00:00,18.7 μg/m³
2019-03-20 01:00:00,20.6 μg/m³
2019-03-21 01:00:00,17.7 μg/m³
2019-03-22 01:00:00,25.0 μg/m³
2019-03-23 01:00:00,34.1 μg/m³
2019-03-24 01:00:00,26.3 μg/m³
2019-03-25 01:00:00,22.2 μg/m³
2019-03-26 01:00:00,14.0 μg/m³
2019-03-27 01:00:00,11.0 μg/m³
2019-03-28 01:00:00,19.7 μg/m³
2019-03-29 01:00:00,20.8 μg/m³
2019-03-30 01:00:00,29.0 μg/m³
2019-03-31 01:00:00,27.8 μg/m³
2019-04-01 02:00:00,23.4 μg/m³
2019-04-02 02:00:00,12.8 μg/m³
2019-04-03 02:00:00,17.9 μg/m³
2019-04-04 02:00:00,24.7 μg/m³
2019-04-05 02:00:00,25.7 μg/m³
2019-04-06 02:00:00,27.7 μg/m³
2019-04-07 02:00:00,37.4 μg/m³
2019-04-08 02:00:00,43.5 μg/m³
2019-04-09 02:00:00,16.1 μg/m³
2019-04-10 02:00:00,15.0 μg/m³
2019-04-11 02:00:00,17.0 μg/m³
2019-04-12 02:00:00,23.6 μg/m³
2019-04-13 02:00:00,17.4 μg/m³
2019-04-14 02:00:00,13.3 μg/m³
2019-04-15 02:00:00,24.3 μg/m³
2019-04-16 02:00:00,18.8 μg/m³
2019-04-17 02:00:00,20.0 μg/m³
2019-04-18 02:00:00,20.6 μg/m³
2019-04-19 02:00:00,17.1 μg/m³
2019-04-20 02:00:00,12.6 μg/m³
2019-04-21 02:00:00,12.9 μg/m³
2019-04-22 02:00:00,17.2 μg/m³
2019-04-23 02:00:00,18.6 μg/m³
2019-04-24 02:00:00,15.8 μg/m³
2019-04-25 02:00:00,19.8 μg/m³
2019-04-26 02:00:00,25.0 μg/m³
2019-04-27 02:00:00,25.9 μg/m³
2019-04-28 02:00:00,13.4 μg/m³
2019-04-29 02:00:00,24.2 μg/m³
2019-04-30 02:00:00,20.7 μg/m³
2019-05-01 02:00:00,13.1 μg/m³
2019-05-02 02:00:00,16.5 μg/m³
2019-05-03 02:00:00,13.2 μg/m³
2019-05-04 02:00:00,18.2 μg/m³
2019-05-05 02:00:00,5.89 μg/m³
2019-05-06 02:00:00,8.12 μg/m³
2019-05-07 02:00:00,19.9 μg/m³
2019-05-08 02:00:00,20.7 μg/m³
2019-05-09 02:00:00,13.5 μg/m³
2019-05-10 02:00:00,25.5 μg/m³
2019-05-11 02:00:00,26.2 μg/m³
2019-05-12 02:00:00,14.4 μg/m³
2019-05-13 02:00:00,10.4 μg/m³
2019-05-14 02:00:00,9.68 μg/m³
2019-05-15 02:00:00,15.9 μg/m³
2019-05-16 02:00:00,15.6 μg/m³
2019-05-17 02:00:00,12.1 μg/m³
2019-05-18 02:00:00,16.8 μg/m³
2019-05-19 02:00:00,12.8 μg/m³
2019-05-20 02:00:00,15.1 μg/m³
2019-05-21 02:00:00,10.3 μg/m³
2019-05-22 02:00:00,6.71 μg/m³
2019-05-23 02:00:00,14.0 μg/m³
2019-05-24 02:00:00,10.7 μg/m³
2019-05-25 02:00:00,11.9 μg/m³
2019-05-26 02:00:00,9.79 μg/m³
2019-05-27 02:00:00,10.9 μg/m³
2019-05-28 02:00:00,14.4 μg/m³
2019-05-29 02:00:00,5.54 μg/m³
2019-05-30 02:00:00,6.58 μg/m³
2019-05-31 02:00:00,9.84 μg/m³
2019-06-01 02:00:00,11.3 μg/m³
2019-06-02 02:00:00,12.6 μg/m³
2019-06-03 02:00:00,7.58 μg/m³
2019-06-04 02:00:00,12.4 μg/m³
2019-06-05 02:00:00,13.5 μg/m³
2019-06-06 02:00:00,12.6 μg/m³
2019-06-07 02:00:00,11.3 μg/m³
2019-06-08 02:00:00,14.8 μg/m³
2019-06-09 02:00:00,6.95 μg/m³
2019-06-10 02:00:00,10.5 μg/m³
2019-06-11 02:00:00,14.8 μg/m³
2019-06-12 02:00:00,13.8 μg/m³
2019-06-13 02:00:00,14.2 μg/m³
2019-06-14 02:00:00,11.6 μg/m³
2019-06-15 02:00:00,13.8 μg/m³
2019-06-16 02:00:00,11.4 μg/m³
2019-06-17 02:00:00,6.82 μg/m³
2019-06-18 02:00:00,7.28 μg/m³
2019-06-19 02:00:00,12.8 μg/m³
2019-06-20 02:00:00,12.3 μg/m³
2019-06-21 02:00:00,11.2 μg/m³
2019-06-22 02:00:00,6.88 μg/m³
2019-06-23 02:00:00,4.57 μg/m³
2019-06-24 02:00:00,6.14 μg/m³
2019-06-25 02:00:00,8.88 μg/m³
2019-06-26 02:00:00,12.0 μg/m³
2019-06-27 02:00:00,10.4 μg/m³
2019-06-28 02:00:00,6.33 μg/m³
2019-06-29 02:00:00,6.31 μg/m³
2019-06-30 02:00:00,8.08 μg/m³
2019-07-01 02:00:00,8.03 μg/m³
2019-07-02 02:00:00,6.34 μg/m³
2019-07-03 02:00:00,4.95 μg/m³
2019-07-04 02:00:00,5.80 μg/m³
2019-07-05 02:00:00,5.31 μg/m³
2019-07-06 02:00:00,7.40 μg/m³
2019-07-07 02:00:00,7.85 μg/m³
2019-07-08 02:00:00,5.92 μg/m³
2019-07-09 02:00:00,6.25 μg/m³
2019-07-10 02:00:00,6.73 μg/m³
2019-07-11 02:00:00,7.24 μg/m³
2019-07-12 02:00:00,8.65 μg/m³
2019-07-13 02:00:00,10.0 μg/m³
2019-07-14 02:00:00,5.59 μg/m³
2019-07-15 02:00:00,6.27 μg/m³
2019-07-16 02:00:00,10.1 μg/m³
2019-07-17 02:00:00,6.42 μg/m³
2019-07-18 02:00:00,6.92 μg/m³
2019-07-19 02:00:00,9.05 μg/m³
2019-07-20 02:00:00,13.9 μg/m³
2019-07-21 02:00:00,12.3 μg/m³
2019-07-22 02:00:00,7.44 μg/m³
2019-07-23 02:00:00,8.93 μg/m³
2019-07-24 02:00:00,7.86 μg/m³
2019-07-25 02:00:00,7.76 μg/m³
2019-07-26 02:00:00,7.81 μg/m³
2019-07-27 02:00:00,9.34 μg/m³
2019-07-28 02:00:00,12.2 μg/m³
2019-07-29 02:00:00,12.8 μg/m³
2019-07-30 02:00:00,14.1 μg/m³
2019-07-31 02:00:00,7.58 μg/m³
2019-08-01 02:00:00,7.85 μg/m³
2019-08-02 02:00:00,9.08 μg/m³
2019-08-03 02:00:00,9.40 μg/m³
2019-08-04 02:00:00,7.14 μg/m³
2019-08-05 02:00:00,8.92 μg/m³
2019-08-06 02:00:00,9.98 μg/m³
2019-08-07 02:00:00,10.2 μg/m³
2019-08-08 02:00:00,8.94 μg/m³
2019-08-09 02:00:00,7.47 μg/m³
2019-08-10 02:00:00,8.86 μg/m³
2019-08-11 02:00:00,6.97 μg/m³
2019-08-12 02:00:00,9.74 μg/m³
2019-08-13 02:00:00,11.1 μg/m³
2019-08-14 02:00:00,7.95 μg/m³
2019-08-15 02:00:00,8.86 μg/m³
2019-08-16 02:00:00,10.2 μg/m³
2019-08-17 02:00:00,12.0 μg/m³
2019-08-18 02:00:00,9.35 μg/m³
2019-08-19 02:00:00,7.61 μg/m³
2019-08-20 02:00:00,8.83 μg/m³
2019-08-21 02:00:00,8.30 μg/m³
2019-08-22 02:00:00,10.6 μg/m³
2019-08-23 02:00:00,11.1 μg/m³
2019-08-26 02:00:00,8 μg/m³
2019-08-27 02:00:00,73.9 μg/m³
2019-08-28 02:00:00,14.0 μg/m³
2019-08-29 02:00:00,18.5 μg/m³
2019-08-30 02:00:00,16.0 μg/m³
2019-08-31 02:00:00,11.5 μg/m³
