PM10
"20:30 21/04;""21:30 21/04"";""19"""
"21:30 21/04;""22:30 21/04"";""23"""
"22:30 21/04;""23:30 21/04"";""46"""
"23:30 21/04;""00:30 22/04"";""49"""
"00:30 22/04;""01:30 22/04"";""43"""
"01:30 22/04;""02:30 22/04"";""41"""
"02:30 22/04;""03:30 22/04"";""41"""
"03:30 22/04;""04:30 22/04"";""41"""
"04:30 22/04;""05:30 22/04"";""43"""
"05:30 22/04;""06:30 22/04"";""38"""
"06:30 22/04;""07:30 22/04"";""24"""
"07:30 22/04;""08:30 22/04"";""20"""
"08:30 22/04;""09:30 22/04"";""14"""
"09:30 22/04;""10:30 22/04"";""19"""
"10:30 22/04;""11:30 22/04"";""10"""
"11:30 22/04;""12:30 22/04"";""10"""
"12:30 22/04;""13:30 22/04"";""6"""
"13:30 22/04;""14:30 22/04"";""6"""
"14:30 22/04;""15:30 22/04"";""8"""
"15:30 22/04;""16:30 22/04"";""6"""
"16:30 22/04;""17:30 22/04"";""5"""
"17:30 22/04;""18:30 22/04"";""6"""
"18:30 22/04;""19:30 22/04"";""6"""
"19:30 22/04;""20:30 22/04"";""7"""
"20:30 22/04;""21:30 22/04"";""7"""
"21:30 22/04;""22:30 22/04"";""9"""
"22:30 22/04;""23:30 22/04"";""7"""
"23:30 22/04;""00:30 23/04"";""13"""
"00:30 23/04;""01:30 23/04"";""17"""
"01:30 23/04;""02:30 23/04"";""13"""
"02:30 23/04;""03:30 23/04"";""14"""
"03:30 23/04;""04:30 23/04"";""15"""
"04:30 23/04;""05:30 23/04"";""15"""
"05:30 23/04;""06:30 23/04"";""13"""
"06:30 23/04;""07:30 23/04"";""16"""
"07:30 23/04;""08:30 23/04"";""14"""
"08:30 23/04;""09:30 23/04"";""15"""
"09:30 23/04;""10:30 23/04"";""17"""
"10:30 23/04;""11:30 23/04"";""15"""
"11:30 23/04;""12:30 23/04"";""11"""
"12:30 23/04;""13:30 23/04"";""9"""
"13:30 23/04;""14:30 23/04"";""6"""
"14:30 23/04;""15:30 23/04"";""5"""
"15:30 23/04;""16:30 23/04"";""4"""
"16:30 23/04;""17:30 23/04"";""6"""
"17:30 23/04;""18:30 23/04"";""6"""
"18:30 23/04;""19:30 23/04"";""4"""
"19:30 23/04;""20:30 23/04"";""19"""
"20:30 23/04;""21:30 23/04"";""26"""
"21:30 23/04;""22:30 23/04"";""22"""
"22:30 23/04;""23:30 23/04"";""39"""
"23:30 23/04;""00:30 24/04"";""13"""
"00:30 24/04;""01:30 24/04"";""25"""
"01:30 24/04;""02:30 24/04"";""29"""
"02:30 24/04;""03:30 24/04"";""33"""
"03:30 24/04;""04:30 24/04"";""29"""
"04:30 24/04;""05:30 24/04"";""31"""
"05:30 24/04;""06:30 24/04"";""38"""
"06:30 24/04;""07:30 24/04"";""35"""
"07:30 24/04;""08:30 24/04"";""32"""
"08:30 24/04;""09:30 24/04"";""34"""
"09:30 24/04;""10:30 24/04"";""34"""
"10:30 24/04;""11:30 24/04"";""23"""
"11:30 24/04;""12:30 24/04"";""16"""
"12:30 24/04;""13:30 24/04"";""9"""
"13:30 24/04;""14:30 24/04"";""6"""
"14:30 24/04;""15:30 24/04"";""7"""
"15:30 24/04;""16:30 24/04"";""8"""
"16:30 24/04;""17:30 24/04"";""6"""
"17:30 24/04;""18:30 24/04"";""5"""
"18:30 24/04;""19:30 24/04"";""6"""
"19:30 24/04;""20:30 24/04"";""5"""
"20:30 24/04;""21:30 24/04"";""6"""
