PM10
"16:30 11/02;""17:30 11/02"";""40"""
"17:30 11/02;""18:30 11/02"";""41"""
"18:30 11/02;""19:30 11/02"";""35"""
"19:30 11/02;""20:30 11/02"";""29"""
"20:30 11/02;""21:30 11/02"";""27"""
"21:30 11/02;""22:30 11/02"";""29"""
"22:30 11/02;""23:30 11/02"";""28"""
"23:30 11/02;""00:30 12/02"";""26"""
"00:30 12/02;""01:30 12/02"";""37"""
"01:30 12/02;""02:30 12/02"";""60"""
"02:30 12/02;""03:30 12/02"";""57"""
"03:30 12/02;""04:30 12/02"";""31"""
"04:30 12/02;""05:30 12/02"";""29"""
"05:30 12/02;""06:30 12/02"";""23"""
"06:30 12/02;""07:30 12/02"";""15"""
"07:30 12/02;""08:30 12/02"";""10"""
"08:30 12/02;""09:30 12/02"";""11"""
"09:30 12/02;""10:30 12/02"";""15"""
"10:30 12/02;""11:30 12/02"";""27"""
"11:30 12/02;""12:30 12/02"";""32"""
"12:30 12/02;""13:30 12/02"";""37"""
"13:30 12/02;""14:30 12/02"";""34"""
"14:30 12/02;""15:30 12/02"";""21"""
"15:30 12/02;""16:30 12/02"";""18"""
"16:30 12/02;""17:30 12/02"";""20"""
"17:30 12/02;""18:30 12/02"";""19"""
"18:30 12/02;""19:30 12/02"";""16"""
"19:30 12/02;""20:30 12/02"";""17"""
"20:30 12/02;""21:30 12/02"";""18"""
"21:30 12/02;""22:30 12/02"";""17"""
"22:30 12/02;""23:30 12/02"";""23"""
"23:30 12/02;""00:30 13/02"";""83"""
"00:30 13/02;""01:30 13/02"";""107"""
"01:30 13/02;""02:30 13/02"";""98"""
"02:30 13/02;""03:30 13/02"";""82"""
"03:30 13/02;""04:30 13/02"";""58"""
"04:30 13/02;""05:30 13/02"";""65"""
"05:30 13/02;""06:30 13/02"";""71"""
"06:30 13/02;""07:30 13/02"";""67"""
"07:30 13/02;""08:30 13/02"";""65"""
"08:30 13/02;""09:30 13/02"";""55"""
"09:30 13/02;""10:30 13/02"";""55"""
"10:30 13/02;""11:30 13/02"";""56"""
"11:30 13/02;""12:30 13/02"";""55"""
"12:30 13/02;""13:30 13/02"";""76"""
"13:30 13/02;""14:30 13/02"";""43"""
"14:30 13/02;""15:30 13/02"";""40"""
"15:30 13/02;""16:30 13/02"";""41"""
"16:30 13/02;""17:30 13/02"";""42"""
"17:30 13/02;""18:30 13/02"";""25"""
"18:30 13/02;""19:30 13/02"";""14"""
"19:30 13/02;""20:30 13/02"";""10"""
"20:30 13/02;""21:30 13/02"";""9"""
"21:30 13/02;""22:30 13/02"";""12"""
"22:30 13/02;""23:30 13/02"";""14"""
"23:30 13/02;""00:30 14/02"";""24"""
"00:30 14/02;""01:30 14/02"";""32"""
"01:30 14/02;""02:30 14/02"";""31"""
"02:30 14/02;""03:30 14/02"";""29"""
"03:30 14/02;""04:30 14/02"";""27"""
"04:30 14/02;""05:30 14/02"";""21"""
"05:30 14/02;""06:30 14/02"";""20"""
"06:30 14/02;""07:30 14/02"";""17"""
"07:30 14/02;""08:30 14/02"";""19"""
"08:30 14/02;""09:30 14/02"";""12"""
"09:30 14/02;""10:30 14/02"";""15"""
"10:30 14/02;""11:30 14/02"";""18"""
"11:30 14/02;""12:30 14/02"";""16"""
"12:30 14/02;""13:30 14/02"";""16"""
