PM2.5
"05:30 21/01;""06:30 21/01"";""33"""
"06:30 21/01;""07:30 21/01"";""35"""
"07:30 21/01;""08:30 21/01"";""36"""
"08:30 21/01;""09:30 21/01"";""38"""
"09:30 21/01;""10:30 21/01"";""41"""
"10:30 21/01;""11:30 21/01"";""40"""
"11:30 21/01;""12:30 21/01"";""42"""
"12:30 21/01;""13:30 21/01"";""40"""
"13:30 21/01;""14:30 21/01"";""39"""
"14:30 21/01;""15:30 21/01"";""37"""
"15:30 21/01;""16:30 21/01"";""29"""
"16:30 21/01;""17:30 21/01"";""25"""
"17:30 21/01;""18:30 21/01"";""24"""
"18:30 21/01;""19:30 21/01"";""26"""
"19:30 21/01;""20:30 21/01"";""28"""
"20:30 21/01;""21:30 21/01"";""37"""
"21:30 21/01;""22:30 21/01"";""39"""
"22:30 21/01;""23:30 21/01"";""40"""
"23:30 21/01;""00:30 22/01"";""43"""
"00:30 22/01;""01:30 22/01"";""44"""
"01:30 22/01;""02:30 22/01"";""43"""
"02:30 22/01;""03:30 22/01"";""44"""
"03:30 22/01;""04:30 22/01"";""46"""
"04:30 22/01;""05:30 22/01"";""58"""
"05:30 22/01;""06:30 22/01"";""56"""
"06:30 22/01;""07:30 22/01"";""48"""
"07:30 22/01;""08:30 22/01"";""43"""
"08:30 22/01;""09:30 22/01"";""45"""
"09:30 22/01;""10:30 22/01"";""43"""
"10:30 22/01;""11:30 22/01"";""44"""
"11:30 22/01;""12:30 22/01"";""47"""
"12:30 22/01;""13:30 22/01"";""39"""
"13:30 22/01;""14:30 22/01"";""36"""
"14:30 22/01;""15:30 22/01"";""32"""
"15:30 22/01;""16:30 22/01"";""25"""
"16:30 22/01;""17:30 22/01"";""26"""
"17:30 22/01;""18:30 22/01"";""24"""
"18:30 22/01;""19:30 22/01"";""26"""
"19:30 22/01;""20:30 22/01"";""30"""
"20:30 22/01;""21:30 22/01"";""27"""
"21:30 22/01;""22:30 22/01"";""27"""
"22:30 22/01;""23:30 22/01"";""30"""
"23:30 22/01;""00:30 23/01"";""37"""
"00:30 23/01;""01:30 23/01"";""39"""
"01:30 23/01;""02:30 23/01"";""40"""
"02:30 23/01;""03:30 23/01"";""37"""
"03:30 23/01;""04:30 23/01"";""42"""
"04:30 23/01;""05:30 23/01"";""39"""
"05:30 23/01;""06:30 23/01"";""39"""
"06:30 23/01;""07:30 23/01"";""44"""
"07:30 23/01;""08:30 23/01"";""45"""
"08:30 23/01;""09:30 23/01"";""42"""
"09:30 23/01;""10:30 23/01"";""43"""
"10:30 23/01;""11:30 23/01"";""43"""
"11:30 23/01;""12:30 23/01"";""42"""
"12:30 23/01;""13:30 23/01"";""40"""
"13:30 23/01;""14:30 23/01"";""39"""
"14:30 23/01;""15:30 23/01"";""35"""
"15:30 23/01;""16:30 23/01"";""37"""
"16:30 23/01;""17:30 23/01"";""37"""
"17:30 23/01;""18:30 23/01"";""38"""
"18:30 23/01;""19:30 23/01"";""33"""
"19:30 23/01;""20:30 23/01"";""34"""
"20:30 23/01;""21:30 23/01"";""36"""
"21:30 23/01;""22:30 23/01"";""33"""
"22:30 23/01;""23:30 23/01"";""35"""
"23:30 23/01;""00:30 24/01"";""34"""
"00:30 24/01;""01:30 24/01"";""35"""
"01:30 24/01;""02:30 24/01"";""36"""
"02:30 24/01;""03:30 24/01"";""35"""
"03:30 24/01;""04:30 24/01"";""29"""
"04:30 24/01;""05:30 24/01"";""21"""
"05:30 24/01;""06:30 24/01"";""22"""
"06:30 24/01;""07:30 24/01"";""21"""
"07:30 24/01;""08:30 24/01"";""25"""
"08:30 24/01;""09:30 24/01"";""27"""
"09:30 24/01;""10:30 24/01"";""32"""
"10:30 24/01;""11:30 24/01"";""31"""
"11:30 24/01;""12:30 24/01"";""31"""
"12:30 24/01;""13:30 24/01"";""37"""
"13:30 24/01;""14:30 24/01"";""37"""
"14:30 24/01;""15:30 24/01"";""32"""
"15:30 24/01;""16:30 24/01"";""36"""
"16:30 24/01;""17:30 24/01"";""37"""
"17:30 24/01;""18:30 24/01"";""38"""
"18:30 24/01;""19:30 24/01"";""41"""
"19:30 24/01;""20:30 24/01"";""47"""
"20:30 24/01;""21:30 24/01"";""44"""
"21:30 24/01;""22:30 24/01"";""37"""
"22:30 24/01;""23:30 24/01"";""37"""
"23:30 24/01;""00:30 25/01"";""41"""
"00:30 25/01;""01:30 25/01"";""41"""
"01:30 25/01;""02:30 25/01"";""37"""
"02:30 25/01;""03:30 25/01"";""32"""
"03:30 25/01;""04:30 25/01"";""30"""
"04:30 25/01;""05:30 25/01"";""34"""
"05:30 25/01;""06:30 25/01"";""34"""
"06:30 25/01;""07:30 25/01"";""33"""
"07:30 25/01;""08:30 25/01"";""32"""
"08:30 25/01;""09:30 25/01"";""31"""
"09:30 25/01;""10:30 25/01"";""31"""
